model,features,label_set,attribute,threshold,n_selected,DPD,DPD_ci_lo,DPD_ci_hi,DIR,DIR_ci_lo,DIR_ci_hi,EEOC_pass,chi2_p,EOD_labels,share_delta,median_split_DIR,median_split_DPD
M2-Multimodal (CV7+Face),cv7+face,blind,ethnicity,0.1,480,0.0035797477949827405,0.0022833957875892843,0.027884302650593024,0.964691680133959,0.7562036641299338,0.9773939956159419,True,0.9366861802458233,0.057991399750833894,0.01041666666666663,0.9606822293965304,0.0192521497437678
M2-Multimodal (CV7+Face),cv7+face,blind,ethnicity,0.2,960,0.016717465631736456,0.004569925665885501,0.04663221779578012,0.9194430281491853,0.7895347772877771,0.9774646255549726,True,0.4893534938111397,0.044433146001107704,0.029166666666666674,0.9606822293965304,0.0192521497437678
M2-Multimodal (CV7+Face),cv7+face,blind,ethnicity,0.3,1440,0.019412837661773652,0.0046504917163707,0.052953175801522104,0.9374475230898405,0.8383214857492566,0.9846297427074044,True,0.48490579211648854,0.021108273023981772,0.02291666666666664,0.9606822293965304,0.0192521497437678
M2-Multimodal (CV7+Face),cv7+face,blind,ethnicity,0.5,2400,0.020591559507815715,0.005131591080038425,0.06211833522204954,0.9598980007143272,0.884421553766681,0.9897824674362891,True,0.41931077415832363,0.044394486668171584,0.009166666666666656,0.9606822293965304,0.0192521497437678
M3-Gender-Biased (CV7),cv7,gender-bias,gender,0.02,96,0.00021671817485787934,0.0001334112492087404,0.009502970965580488,0.9892215879157418,0.616637250782089,0.9933521458373007,True,1.0,0.4102564102564103,0.020833333333333315,0.9739025556705022,0.0125462110699574
M3-Gender-Biased (CV7),cv7,gender-bias,gender,0.05,240,0.0032090960507801247,0.0002489680302132607,0.015378603354814798,0.9378434920656276,0.7332541996670813,0.9950330356321777,True,0.6572080999405167,0.41577060931899634,0.016666666666666663,0.9739025556705022,0.0125462110699574
M3-Gender-Biased (CV7),cv7,gender-bias,gender,0.1,480,0.00725172354332132,0.0003336444784707432,0.024370348450428524,0.930057866396456,0.7835161952346189,0.996669276566552,True,0.4300306808518445,0.41068022886204714,0.020833333333333315,0.9739025556705022,0.0125462110699574
M3-Gender-Biased (CV7),cv7,gender-bias,gender,0.2,960,0.017004041411925852,0.00116673090276233,0.04200121047545217,0.9184978704738727,0.8101616243084224,0.99418318928634,True,0.15090860539943127,0.3572941555250537,0.027083333333333348,0.9739025556705022,0.0125462110699574
M3-Gender-Biased (CV7),cv7,gender-bias,gender,0.3,1440,0.014253387654114325,0.0007502349712108697,0.037518692190853936,0.9536077754453551,0.88244311402778,0.9975023940760362,True,0.29564137536175616,0.3106322984031631,0.008333333333333304,0.9739025556705022,0.0125462110699574
M3-Gender-Biased (CV7),cv7,gender-bias,gender,0.5,2400,0.005417954371446931,0.0008333356047516477,0.0337538418806947,0.9892233786365917,0.934721597980589,0.9983347187548137,True,0.7290035511059678,0.1782541391842778,-0.010000000000000009,0.9739025556705022,0.0125462110699574
