model,attribute,threshold,group,n,selected,selection_rate,share_of_topk
M2-Multimodal (CV7+Face),gender,0.02,Female,2363,47,0.019889970376639865,0.4895833333333333
M2-Multimodal (CV7+Face),gender,0.05,Male,2437,119,0.04883052933935166,0.49583333333333335
M2-Multimodal (CV7+Face),gender,0.05,Female,2363,121,0.051206093948370716,0.5041666666666667
M2-Multimodal (CV7+Face),gender,0.1,Male,2437,235,0.09643003693065244,0.4895833333333333
M2-Multimodal (CV7+Face),gender,0.1,Female,2363,245,0.10368176047397376,0.5104166666666666
M2-Multimodal (CV7+Face),gender,0.2,Male,2437,463,0.18998768978251948,0.4822916666666667
M2-Multimodal (CV7+Face),gender,0.2,Female,2363,497,0.21032585696148964,0.5177083333333333
M2-Multimodal (CV7+Face),gender,0.3,Male,2437,710,0.2913418137053755,0.4930555555555556
M2-Multimodal (CV7+Face),gender,0.3,Female,2363,730,0.3089293271265341,0.5069444444444444
M2-Multimodal (CV7+Face),gender,0.5,Male,2437,1201,0.49281903980303654,0.5004166666666666
M2-Multimodal (CV7+Face),gender,0.5,Female,2363,1199,0.5074058400338552,0.4995833333333333
M2-Multimodal (CV7+Face),ethnicity,0.02,G1,1595,33,0.020689655172413793,0.34375
M2-Multimodal (CV7+Face),ethnicity,0.02,G2,1588,41,0.025818639798488665,0.4270833333333333
M2-Multimodal (CV7+Face),ethnicity,0.02,G3,1617,22,0.013605442176870748,0.22916666666666666
M2-Multimodal (CV7+Face),ethnicity,0.05,G1,1595,83,0.05203761755485893,0.3458333333333333
M2-Multimodal (CV7+Face),ethnicity,0.05,G2,1588,86,0.05415617128463476,0.35833333333333334
M2-Multimodal (CV7+Face),ethnicity,0.05,G3,1617,71,0.04390847247990105,0.29583333333333334
M2-Multimodal (CV7+Face),ethnicity,0.1,G1,1595,156,0.09780564263322884,0.325
M2-Multimodal (CV7+Face),ethnicity,0.1,G2,1588,161,0.10138539042821158,0.33541666666666664
M2-Multimodal (CV7+Face),ethnicity,0.1,G3,1617,163,0.10080395794681508,0.33958333333333335
M2-Multimodal (CV7+Face),ethnicity,0.2,G1,1595,331,0.20752351097178684,0.34479166666666666
M2-Multimodal (CV7+Face),ethnicity,0.2,G2,1588,303,0.19080604534005038,0.315625
M2-Multimodal (CV7+Face),ethnicity,0.2,G3,1617,326,0.20160791589363017,0.33958333333333335
M2-Multimodal (CV7+Face),ethnicity,0.3,G1,1595,495,0.3103448275862069,0.34375
M2-Multimodal (CV7+Face),ethnicity,0.3,G2,1588,462,0.29093198992443325,0.32083333333333336
M2-Multimodal (CV7+Face),ethnicity,0.3,G3,1617,483,0.2987012987012987,0.33541666666666664
M2-Multimodal (CV7+Face),ethnicity,0.5,G1,1595,819,0.5134796238244514,0.34125
M2-Multimodal (CV7+Face),ethnicity,0.5,G2,1588,784,0.49370277078085645,0.32666666666666666
M2-Multimodal (CV7+Face),ethnicity,0.5,G3,1617,797,0.49288806431663573,0.33208333333333334
